"country","ccode","year","wave","study","sldummy","slsdummy","hddummy","hdsdummy"
"United Kingdom",200,1999,4,"EVS",0.245880861850444,0.0659062103929024,0.131812420785805,0.0468948035487959
"Ireland",205,1999,4,"EVS",0.25599128540305,0.0849673202614379,0.0806100217864924,0.0326797385620915
"Netherlands",210,1999,4,"EVS",0.27217125382263,0.0499490316004077,0.0326197757390418,0.00407747196738022
"Belgium",211,1999,4,"EVS",0.307068366164542,0.0921205098493627,0.0938586326767092,0.0283893395133256
"Luxembourg",212,1999,4,"EVS",0.439232409381663,0.157782515991471,0.0778251599147122,0.0191897654584222
"France",220,1999,4,"EVS",0.338245614035088,0.129824561403509,0.108771929824561,0.04
"Spain",230,1999,4,"EVS",0.222340425531915,0.0372340425531915,0.0606382978723404,0.0148936170212766
"Portugal",235,1999,4,"EVS",0.358418367346939,0.0459183673469388,0.0943877551020408,0.0127551020408163
"Germany",255,1999,4,"EVS",0.192596566523605,0.0493562231759657,0.0584763948497854,0.0144849785407725
"Poland",290,1999,4,"EVS",0.20976692563818,0.072142064372919,0.159822419533851,0.0321864594894562
"Austria",305,1999,4,"EVS",0.157857646229739,0.0295983086680761,0.0373502466525722,0.00563777307963354
"Hungary",310,1999,4,"EVS",0.205479452054795,0.0753424657534247,0.125570776255708,0.0331050228310502
"Czech Republic",316,1999,4,"EVS",0.166185804962493,0.0288517022504328,0.0692440854010387,0.0138488170802077
"Slovakia",317,1999,4,"EVS",0.186784140969163,0.0581497797356828,0.160352422907489,0.0502202643171806
"Italy",325,1999,4,"EVS",0.150699677072121,0.0403659849300323,0.0333692142088267,0.00753498385360603
"Malta",338,1999,4,"EVS",0.190526315789474,0.0663157894736842,0.0631578947368421,0.0231578947368421
"Greece",350,1999,4,"EVS",0.0843806104129264,0.0296229802513465,0.0206463195691203,0.00987432675044883
"Sweden",380,1999,4,"EVS",0.206577595066804,0.0431654676258993,0.02672147995889,0
"Denmark",390,1999,4,"EVS",0.135362014690451,0.0493179433368311,0.0199370409233998,0.00629590766002099
"Iceland",395,1999,4,"EVS",0.105932203389831,0.0201271186440678,0.0211864406779661,0.00423728813559322
"Finland",375,2000,4,"EVS",0.246056782334385,0.0515247108307045,0.1198738170347,0.0168243953732913
"Ireland",205,2008,5,"EVS",0.305518169582773,0.0807537012113055,0.176312247644684,0.0592193808882907
"Netherlands",210,2008,5,"EVS",0.397089397089397,0.0956340956340956,0.0838530838530838,0.0152460152460152
"Luxembourg",212,2008,5,"EVS",0.349338900487126,0.100904662491301,0.0862908837856646,0.0250521920668058
"France",220,2008,5,"EVS",0.258310249307479,0.0630193905817174,0.0886426592797784,0.0207756232686981
"Switzerland",225,2008,5,"EVS",0.230352303523035,0.0505871725383921,0.028906955736224,0.00993676603432701
"Spain",230,2008,5,"EVS",0.201091192517537,0.0374123148869836,0.0358534684333593,0.0124707716289945
"Portugal",235,2008,5,"EVS",0.524074074074074,0.0972222222222222,0.0861111111111111,0.012037037037037
"Germany",255,2008,5,"EVS",0.167495854063018,0.0386954118297402,0.102266445550028,0.0127142067440575
"Poland",290,2008,5,"EVS",0.202830188679245,0.0322327044025157,0.137578616352201,0.0227987421383648
"Austria",305,2008,5,"EVS",0.216479400749064,0.048689138576779,0.0831460674157303,0.0307116104868914
"Hungary",310,2008,5,"EVS",0.268361581920904,0.067090395480226,0.178672316384181,0.0416666666666667
"Czech Republic",316,2008,5,"EVS",0.29205298013245,0.0774834437086093,0.184105960264901,0.0496688741721854
"Slovakia",317,2008,5,"EVS",0.121869782971619,0.0217028380634391,0.12771285475793,0.0233722871452421
"Malta",338,2008,5,"EVS",0.29080824088748,0.0744849445324881,0.0483359746434231,0.01743264659271
"Greece",350,2008,5,"EVS",0.0723549488054608,0.021160409556314,0.0273037542662116,0.0150170648464164
"Cyprus",352,2008,5,"EVS",0.126712328767123,0.0262557077625571,0.0490867579908676,0.0296803652968037
"Norway",385,2008,5,"EVS",0.176029962546816,0.0290262172284644,0.0458801498127341,0.00842696629213483
"Denmark",390,2008,5,"EVS",0.147969717825189,0.0529938059187887,0.00688231245698555,0.00137646249139711
"United Kingdom",200,2009,5,"EVS",0.275243081525804,0.068810770381451,0.130142109199701,0.0411368735976066
"Belgium",211,2009,5,"EVS",0.394683026584867,0.111792774369461,0.0770279481935924,0.00886162235855487
"Italy",325,2009,5,"EVS",0.151449275362319,0.0485507246376812,0.0304347826086957,0.0072463768115942
"Finland",375,2009,5,"EVS",0.137014314928425,0.0255623721881391,0.0756646216768916,0.0112474437627812
"Sweden",380,2009,5,"EVS",0.144041450777202,0.0248704663212435,0.0549222797927461,0.0124352331606218
"Iceland",395,2009,5,"EVS",0.146153846153846,0.0487179487179487,0.041025641025641,0.00897435897435897
"United States",2,1995,3,"WVS",0.228183118741059,0.0286123032904149,0.0908440629470672,0.0278969957081545
"Spain",230,1995,3,"WVS",0.291870714985309,0.059745347698335,0.0509304603330069,0.0176297747306562
"Australia",900,1995,3,"WVS",0.241112828438949,0.0664605873261206,0.127769191138588,0.0365790829469346
"Switzerland",225,1996,3,"WVS",0.285857572718154,0.0581745235707121,0.0641925777331996,0.0100300902708124
"Finland",375,1996,3,"WVS",0.262387387387387,0.0675675675675676,0.230855855855856,0.0551801801801802
"Sweden",380,1996,3,"WVS",0.263485477178423,0.0591286307053942,0.0425311203319502,0.00311203319502075
"Norway",385,1996,3,"WVS",0.138964577656676,0.0181653042688465,0.0372388737511353,0.0072661217075386
"Germany",255,1997,3,"WVS",0.133983572895277,0.0282340862422998,0.0431211498973306,0.00564681724845996
"Hungary",310,1998,3,"WVS",0.180722891566265,0.0602409638554217,0.0895008605851979,0.0206540447504303
"Czech Rep.",316,1998,3,"WVS",0.159047619047619,0.040952380952381,0.0904761904761905,0.0161904761904762
"Slovakia",317,1998,3,"WVS",0.186440677966102,0.0528414755732802,0.0737786640079761,0.0129611166500499
"New Zealand",920,1998,3,"WVS",0.171189979123173,0.0490605427974948,0.0918580375782881,0.0302713987473904
"United States",2,1999,4,"WVS",0.292832167832168,0.0821678321678322,0.112762237762238,0.0428321678321678
"Canada",20,2000,4,"WVS",0.231167337550316,0.0569292696952271,0.130534790109258,0.0362277170787809
"Spain",230,2000,4,"WVS",0.183734939759036,0.0291164658634538,0.0532128514056225,0.0140562248995984
"New Zealand",920,2004,5,"WVS",0.155704697986577,0.0322147651006711,0.0563758389261745,0.025503355704698
"United Kingdom",200,2005,5,"WVS",0.265726681127983,0.0672451193058568,0.0986984815618221,0.0357917570498915
"Andorra",232,2005,5,"WVS",0.079664570230608,0.0136268343815514,0.030398322851153,0.00524109014675052
"Poland",290,2005,5,"WVS",0.286577992744861,0.0665054413542926,0.158403869407497,0.0241837968561064
"Italy",325,2005,5,"WVS",0.141649048625793,0.0422832980972516,0.047568710359408,0.00634249471458774
"Finland",375,2005,5,"WVS",0.221881390593047,0.0429447852760736,0.100204498977505,0.0081799591002045
"Australia",900,2005,5,"WVS",0.220277169948942,0.0517870167760759,0.100656455142232,0.0269876002917578
"United States",2,2006,5,"WVS",0.322472848788638,0.0668337510442774,0.126984126984127,0.0317460317460317
"Canada",20,2006,5,"WVS",0.215235173824131,0.0521472392638037,0.0879345603271984,0.0301635991820041
"Netherlands",210,2006,5,"WVS",0.420765027322404,0.0841530054644809,0.0972677595628415,0.0262295081967213
"France",220,2006,5,"WVS",0.337197049525817,0.103266596417281,0.102212855637513,0.0231822971548999
"Germany",255,2006,5,"WVS",0.180942184154176,0.0278372591006424,0.0551391862955032,0.00910064239828694
"Cyprus",352,2006,5,"WVS",0.454632282712512,0.148997134670487,0.0439350525310411,0.0133715377268386
"Sweden",380,2006,5,"WVS",0.177484787018256,0.0385395537525355,0.0192697768762677,0.00405679513184584
"Switzerland",225,2007,5,"WVS",0.16821639898563,0.0253592561284869,0.0355029585798817,0.00591715976331361
"Spain",230,2007,5,"WVS",0.323676323676324,0.048951048951049,0.038961038961039,0.00699300699300699
"Norway",385,2007,5,"WVS",0.157894736842105,0.0297914597815293,0.0258192651439921,0.00397219463753724
"Hungary",310,2009,5,"WVS",0.267467248908297,0.0775109170305677,0.091703056768559,0.0185589519650655
"United States",2,2011,6,"WVS",0.316179879462216,0.0593416782568382,0.16458043579045,0.0496059341678257
"Spain",230,2011,6,"WVS",0.46061814556331,0.0887337986041874,0.0398803589232303,0.0169491525423729
"Cyprus",352,2011,6,"WVS",0.423692636072572,0.159018143009605,0.0512273212379936,0.0170757737459979
"Sweden",380,2011,6,"WVS",0.240561896400351,0.0509218612818262,0.0403863037752414,0.0114135206321334
"New Zealand",920,2011,6,"WVS",0.205882352941176,0.0441176470588235,0.0955882352941176,0.0455882352941176
"Netherlands",210,2012,6,"WVS",0.317006802721088,0.0428571428571429,0.0653061224489796,0.0115646258503401
"Poland",290,2012,6,"WVS",0.212230215827338,0.0335731414868106,0.160671462829736,0.0251798561151079
"Australia",900,2012,6,"WVS",0.232886379675371,0.0585744530698659,0.081863091037403,0.0239943542695836
"Germany",255,2013,6,"WVS",0.197953964194373,0.0322250639386189,0.0434782608695652,0.00818414322250639
